Name,WAR,WAR7,JAWS,WAR/162,oWAR,dWAR,WAA,Yrs,ASG,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,ID
Johnny Bench HOF,75.1,47.2,61.2,5.6,65.7,19.7,46.6,17,14,2158,8674,7658,1091,2048,381,24,389,1376,68,43,891,1278,.267,.342,.476,.817,126,benchjo01
Gary Carter HOF,70.2,48.4,59.3,5.0,56.3,26.1,40.1,19,11,2296,9019,7971,1025,2092,371,31,324,1225,39,42,848,997,.262,.335,.439,.773,115,cartega01
Iván Rodríguez HOF,68.7,39.8,54.3,4.4,54.5,29.6,33.3,21,14,2543,10270,9592,1354,2844,572,51,311,1332,127,64,513,1474,.296,.334,.464,.798,106,rodriiv01
Carlton Fisk HOF,68.5,37.5,53.0,4.4,66.3,17.1,35.3,24,11,2499,9853,8756,1276,2356,421,47,376,1330,128,58,849,1386,.269,.341,.457,.797,117,fiskca01
Mike Piazza HOF,59.5,43.1,51.3,5.0,66.4,1.5,35.8,16,12,1912,7745,6911,1048,2127,344,8,427,1335,17,20,759,1113,.308,.377,.545,.922,143,piazzmi01
Yogi Berra HOF,59.5,38.0,48.7,4.5,56.3,9.2,33.9,19,18,2120,8364,7555,1175,2150,321,49,358,1430,30,26,704,414,.285,.348,.482,.830,125,berrayo01
Joe Mauer HOF,55.2,39.0,47.1,4.8,53.0,3.0,27.5,15,6,1858,7960,6930,1018,2123,428,30,143,923,52,19,939,1034,.306,.388,.439,.827,124,mauerjo01
Bill Dickey HOF,56.4,35.4,45.9,5.1,52.0,10.2,31.7,17,11,1789,7065,6300,930,1969,343,72,202,1209,36,32,678,289,.313,.382,.486,.868,127,dickebi01
Mickey Cochrane HOF,49.7,36.6,43.2,5.4,53.7,0.7,26.5,13,2,1482,6211,5169,1041,1652,333,64,119,830,64,47,857,217,.320,.419,.478,.897,129,cochrmi01
Gabby Hartnett HOF,55.5,30.7,43.1,4.5,48.1,13.3,31.1,20,6,1990,7300,6432,867,1912,396,64,236,1179,28,32,703,697,.297,.370,.489,.858,126,hartnga01
Ted Simmons HOF,50.4,34.8,42.6,3.3,53.7,5.2,19.0,21,8,2456,9685,8680,1074,2472,483,47,248,1389,21,33,855,694,.285,.348,.437,.785,118,simmote01
Thurman Munson,46.1,37.0,41.6,5.2,43.2,11.9,25.5,11,7,1423,5905,5344,696,1558,229,32,113,701,48,50,438,571,.292,.346,.410,.756,116,munsoth01
